Category,Grade,Question,,,
Careers,6,List two (2) of your challenges.,,,
Careers,6,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,7,"Based on my results, my personality type is:",,,
Careers,7,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,7,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,7,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,7,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,7,How well do the results of the Personality Assessment represent you?,,,
Careers,7,Explain why you think the results do or do not represent you.,,,
Careers,7,List two (2) of your strengths based on your personality type.,,,
Careers,7,List two (2) of your challenges.,,,
Careers,7,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,8,"Based on my results, my personality type is:",,,
Careers,8,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,8,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,8,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,8,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,8,How well do the results of the Personality Assessment represent you?,,,
Careers,8,Explain why you think the results do or do not represent you.,,,
Careers,8,List two (2) of your strengths based on your personality type.,,,
Careers,8,List two (2) of your challenges.,,,
Careers,8,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,9,"Based on my results, my personality type is:",,,
Careers,9,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,9,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,9,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,9,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,9,How well do the results of the Personality Assessment represent you?,,,
Careers,9,Explain why you think the results do or do not represent you.,,,
Careers,9,List two (2) of your strengths based on your personality type.,,,
Careers,9,List two (2) of your challenges.,,,
Careers,9,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,10,"Based on my results, my personality type is:",,,
Careers,10,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,10,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,10,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,10,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,10,How well do the results of the Personality Assessment represent you?,,,
Careers,10,Explain why you think the results do or do not represent you.,,,
Careers,10,List two (2) of your strengths based on your personality type.,,,
Careers,10,List two (2) of your challenges.,,,
Careers,10,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,11,"Based on my results, my personality type is:",,,
Careers,11,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,11,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,11,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,11,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,11,How well do the results of the Personality Assessment represent you?,,,
Careers,11,Explain why you think the results do or do not represent you.,,,
Careers,11,List two (2) of your strengths based on your personality type.,,,
Careers,11,List two (2) of your challenges.,,,
Careers,11,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,12,"Based on my results, my personality type is:",,,
Careers,12,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,12,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,12,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,12,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,12,How well do the results of the Personality Assessment represent you?,,,
Careers,12,Explain why you think the results do or do not represent you.,,,
Careers,12,List two (2) of your strengths based on your personality type.,,,
Careers,12,List two (2) of your challenges.,,,
Careers,12,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,10,"Based on your results, what is your highest rated skill?",,,
Careers,10,"Based on your results, what is your second highest rated skill?",,,
Careers,10,"Based on your results, what is your third highest rated skill?",,,
Careers,10,Do you agree with these results?  Why or why not?  Please explain.,,,
Careers,10,"Looking at your Social-Emotional skill results, what is your top facet?",,,
Careers,10,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,10,"Looking at your Social-Conscientiousness skill results, what is your top facet?",,,
Careers,10,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,10,"Looking at your Leadership skill results, what is your top facet?",,,
Careers,10,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,10,What skill facets do you need to focus on most? (Those that are in red),,,
Careers,10,List two recommended Careers based on your results.,,,
Careers,10,Select one (1) career from the recommended list that interests you the most.  Which career did you select?  Why?,,,
Careers,10,Click the name of that career to view the career profile.  List the top two (2) knowledge areas for that career.,,,
Careers,10,What are the top two (2) tasks performed for this career?,,,
Careers,10,What is the average salary in California for this career?,,,
Careers,11,"Based on your results, what is your highest rated skill?",,,
Careers,11,"Based on your results, what is your second highest rated skill?",,,
Careers,11,"Based on your results, what is your third highest rated skill?",,,
Careers,11,Do you agree with these results?  Why or why not?  Please explain.,,,
Careers,11,"Looking at your Social-Emotional skill results, what is your top facet?",,,
Careers,11,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,11,"Looking at your Social-Conscientiousness skill results, what is your top facet?",,,
Careers,11,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,11,"Looking at your Leadership skill results, what is your top facet?",,,
Careers,11,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,11,What skill facets do you need to focus on most? (Those that are in red),,,
Careers,11,List two recommended Careers based on your results.,,,
Careers,11,Select one (1) career from the recommended list that interests you the most.  Which career did you select?  Why?,,,
Careers,11,Click the name of that career to view the career profile.  List the top two (2) knowledge areas for that career.,,,
Careers,11,What are the top two (2) tasks performed for this career?,,,
Careers,11,What is the average salary in California for this career?,,,
Careers,12,"Based on your results, what is your highest rated skill?",,,
Careers,12,"Based on your results, what is your second highest rated skill?",,,
Careers,12,"Based on your results, what is your third highest rated skill?",,,
Careers,12,Do you agree with these results?  Why or why not?  Please explain.,,,
Careers,12,"Looking at your Social-Emotional skill results, what is your top facet?",,,
Careers,12,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,12,"Looking at your Social-Conscientiousness skill results, what is your top facet?",,,
Careers,12,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,12,"Looking at your Leadership skill results, what is your top facet?",,,
Careers,12,How can you further develop that facet - basic and advanced?  (Hint: look in the Develop Your Skills section).  Please write in complete sentences.,,,
Careers,12,What skill facets do you need to focus on most? (Those that are in red),,,
Careers,12,List two recommended Careers based on your results.,,,
Careers,12,Select one (1) career from the recommended list that interests you the most.  Which career did you select?  Why?,,,
Careers,12,Click the name of that career to view the career profile.  List the top two (2) knowledge areas for that career.,,,
Careers,12,What are the top two (2) tasks performed for this career?,,,
Careers,12,What is the average salary in California for this career?,,,
Social-emotional learning,6,Please write the Academic SMART Goal you created this school year.,,,
Social-emotional learning,6,Did you achieve your Academic SMART Goal?,,,
Social-emotional learning,6,"If you did not accomplish your Academic SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,6,"On a scale of 1 to 5, rate yourself in the Academic area that you worked on this year.",,,
Social-emotional learning,6,Discuss what made it easy or difficult to achieve your Academic goal?,,,
Social-emotional learning,6,Do you think you need to continue to work on this Academic area for next year?  Why or why not?,,,
Social-emotional learning,6,Please write the Career SMART Goal you created this school year.,,,
Social-emotional learning,6,Did you achieve your Career SMART Goal?,,,
Social-emotional learning,6,"If you did not accomplish your Career SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,6,"On a scale of 1 to 5, rate yourself in the Career area that you worked on this year. ",,,
Social-emotional learning,6,Discuss what made it easy or difficult to achieve your Career goal?,,,
Social-emotional learning,6,Do you think you need to continue to work on this Career area for next year?  Why or why not?,,,
Social-emotional learning,6,What would you change about choosing an Academic and/or Career SMART Goal the next time you create one?,,,
Social-emotional learning,6,Who were some of the important adults in your life that supported you in achieving either or both goals?,,,
Social-emotional learning,7,Please write the Academic SMART Goal you created this school year.,,,
Social-emotional learning,7,Did you achieve your Academic SMART Goal?,,,
Social-emotional learning,7,"If you did not accomplish your Academic SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,7,"On a scale of 1 to 5, rate yourself in the Academic area that you worked on this year.",,,
Social-emotional learning,7,Discuss what made it easy or difficult to achieve your Academic goal?,,,
Social-emotional learning,7,Do you think you need to continue to work on this Academic area for next year?  Why or why not?,,,
Social-emotional learning,7,Please write the Career SMART Goal you created this school year.,,,
Social-emotional learning,7,Did you achieve your Career SMART Goal?,,,
Social-emotional learning,7,"If you did not accomplish your Career SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,7,"On a scale of 1 to 5, rate yourself in the Career area that you worked on this year. ",,,
Social-emotional learning,7,Discuss what made it easy or difficult to achieve your Career goal?,,,
Social-emotional learning,7,Do you think you need to continue to work on this Career area for next year?  Why or why not?,,,
Social-emotional learning,7,What would you change about choosing an Academic and/or Career SMART Goal the next time you create one?,,,
Social-emotional learning,7,Who were some of the important adults in your life that supported you in achieving either or both goals?,,,
Social-emotional learning,8,Please write the Academic SMART Goal you created this school year.,,,
Social-emotional learning,8,Did you achieve your Academic SMART Goal?,,,
Social-emotional learning,8,"If you did not accomplish your Academic SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,8,"On a scale of 1 to 5, rate yourself in the Academic area that you worked on this year.",,,
Social-emotional learning,8,Discuss what made it easy or difficult to achieve your Academic goal?,,,
Social-emotional learning,8,Do you think you need to continue to work on this Academic area for next year?  Why or why not?,,,
Social-emotional learning,8,Please write the Career SMART Goal you created this school year.,,,
Social-emotional learning,8,Did you achieve your Career SMART Goal?,,,
Social-emotional learning,8,"If you did not accomplish your Career SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,8,"On a scale of 1 to 5, rate yourself in the Career area that you worked on this year. ",,,
Social-emotional learning,8,Discuss what made it easy or difficult to achieve your Career goal?,,,
Social-emotional learning,8,Do you think you need to continue to work on this Career area for next year?  Why or why not?,,,
Social-emotional learning,8,What would you change about choosing an Academic and/or Career SMART Goal the next time you create one?,,,
Social-emotional learning,8,Who were some of the important adults in your life that supported you in achieving either or both goals?,,,
Social-emotional learning,9,Please write the Academic SMART Goal you created this school year.,,,
Social-emotional learning,9,Did you achieve your Academic SMART Goal?,,,
Social-emotional learning,9,"If you did not accomplish your Academic SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,9,"On a scale of 1 to 5, rate yourself in the Academic area that you worked on this year.",,,
Social-emotional learning,9,Discuss what made it easy or difficult to achieve your Academic goal?,,,
Social-emotional learning,9,Do you think you need to continue to work on this Academic area for next year?  Why or why not?,,,
Social-emotional learning,9,Please write the Career SMART Goal you created this school year.,,,
Social-emotional learning,9,Did you achieve your Career SMART Goal?,,,
Social-emotional learning,9,"If you did not accomplish your Career SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,9,"On a scale of 1 to 5, rate yourself in the Career area that you worked on this year. ",,,
Social-emotional learning,9,Discuss what made it easy or difficult to achieve your Career goal?,,,
Social-emotional learning,9,Do you think you need to continue to work on this Career area for next year?  Why or why not?,,,
Social-emotional learning,9,What would you change about choosing an Academic and/or Career SMART Goal the next time you create one?,,,
Social-emotional learning,9,Who were some of the important adults in your life that supported you in achieving either or both goals?,,,
Social-emotional learning,10,Please write the Academic SMART Goal you created this school year.,,,
Social-emotional learning,10,Did you achieve your Academic SMART Goal?,,,
Social-emotional learning,10,"If you did not accomplish your Academic SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,10,"On a scale of 1 to 5, rate yourself in the Academic area that you worked on this year.",,,
Social-emotional learning,10,Discuss what made it easy or difficult to achieve your Academic goal?,,,
Social-emotional learning,10,Do you think you need to continue to work on this Academic area for next year?  Why or why not?,,,
Social-emotional learning,10,Please write the Career SMART Goal you created this school year.,,,
Social-emotional learning,10,Did you achieve your Career SMART Goal?,,,
Social-emotional learning,10,"If you did not accomplish your Career SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,10,"On a scale of 1 to 5, rate yourself in the Career area that you worked on this year. ",,,
Social-emotional learning,10,Discuss what made it easy or difficult to achieve your Career goal?,,,
Social-emotional learning,10,Do you think you need to continue to work on this Career area for next year?  Why or why not?,,,
Social-emotional learning,10,What would you change about choosing an Academic and/or Career SMART Goal the next time you create one?,,,
Social-emotional learning,10,Who were some of the important adults in your life that supported you in achieving either or both goals?,,,
Social-emotional learning,11,Please write the Academic SMART Goal you created this school year.,,,
Social-emotional learning,11,Did you achieve your Academic SMART Goal?,,,
Social-emotional learning,11,"If you did not accomplish your Academic SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,11,"On a scale of 1 to 5, rate yourself in the Academic area that you worked on this year.",,,
Social-emotional learning,11,Discuss what made it easy or difficult to achieve your Academic goal?,,,
Social-emotional learning,11,Do you think you need to continue to work on this Academic area for next year?  Why or why not?,,,
Social-emotional learning,11,Please write the Career SMART Goal you created this school year.,,,
Social-emotional learning,11,Did you achieve your Career SMART Goal?,,,
Social-emotional learning,11,"If you did not accomplish your Career SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,11,"On a scale of 1 to 5, rate yourself in the Career area that you worked on this year. ",,,
Social-emotional learning,11,Discuss what made it easy or difficult to achieve your Career goal?,,,
Social-emotional learning,11,Do you think you need to continue to work on this Career area for next year?  Why or why not?,,,
Social-emotional learning,11,What would you change about choosing an Academic and/or Career SMART Goal the next time you create one?,,,
Social-emotional learning,11,Who were some of the important adults in your life that supported you in achieving either or both goals?,,,
Social-emotional learning,12,Please write the Academic SMART Goal you created this school year.,,,
Social-emotional learning,12,Did you achieve your Academic SMART Goal?,,,
Social-emotional learning,12,"If you did not accomplish your Academic SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,12,"On a scale of 1 to 5, rate yourself in the Academic area that you worked on this year.",,,
Social-emotional learning,12,Discuss what made it easy or difficult to achieve your Academic goal?,,,
Social-emotional learning,12,Do you think you need to continue to work on this Academic area for next year?  Why or why not?,,,
Social-emotional learning,12,Please write the Career SMART Goal you created this school year.,,,
Social-emotional learning,12,Did you achieve your Career SMART Goal?,,,
Social-emotional learning,12,"If you did not accomplish your Career SMART goal, what do you think you should have done differently this year?",,,
Social-emotional learning,12,"On a scale of 1 to 5, rate yourself in the Career area that you worked on this year. ",,,
Social-emotional learning,12,Discuss what made it easy or difficult to achieve your Career goal?,,,
Social-emotional learning,12,Do you think you need to continue to work on this Career area for next year?  Why or why not?,,,
Social-emotional learning,12,What would you change about choosing an Academic and/or Career SMART Goal the next time you create one?,,,
Social-emotional learning,12,Who were some of the important adults in your life that supported you in achieving either or both goals?,,,
Careers,6,"Based on your results, which is your top matched Career Cluster?",,,
Careers,6,"Based on your results, what is your 2nd matched Career Cluster?",,,
Careers,6,"Based on your results, what is our 3rd matched Career Cluster?",,,
Careers,6,Which Career Cluster are you MOST interested in? Why?,,,
Careers,6,Click on the Career Cluster you wrote for Question #4.  Which Related Career Pathway are you most interested in?  Why?,,,
Careers,6,Click the Related Pathway you wrote for Question #5 and go to Related Occupations.  Which Related Occupation (or career) interests you the most? Why? ,,,
Careers,6,"Click the career that interests you the most.  List three of the important skills needed for that career.  (Hint: Click on the Occupation, then click on the Skills and Experience tab.)",,,
Careers,6,What is the average wage for that career in Oregon?  (Click the Wages tab.),,,
Careers,6,What major will you select for your career? (Scroll down to RELATED MAJORS.),,,
Careers,6,Click the MAJOR - what is one COLLEGE that offers the major for your career?  (You can narrow down your college list using the Advanced College Search features.),,,
Careers,6,Which of the following best describes your feelings about your survey results?,,,
Careers,7,"Based on your results, which is your top matched Career Cluster?",,,
Careers,7,"Based on your results, what is your 2nd matched Career Cluster?",,,
Careers,7,"Based on your results, what is our 3rd matched Career Cluster?",,,
Careers,7,Which Career Cluster are you MOST interested in? Why?,,,
Careers,7,Click on the Career Cluster you wrote for Question #4.  Which Related Career Pathway are you most interested in?  Why?,,,
Careers,7,Click the Related Pathway you wrote for Question #5 and go to Related Occupations.  Which Related Occupation (or career) interests you the most? Why? ,,,
Careers,7,"Click the career that interests you the most.  List three of the important skills needed for that career.  (Hint: Click on the Occupation, then click on the Skills and Experience tab.)",,,
Careers,7,What is the average wage for that career in Oregon?  (Click the Wages tab.),,,
Careers,7,What major will you select for your career? (Scroll down to RELATED MAJORS.),,,
Careers,7,Click the MAJOR - what is one COLLEGE that offers the major for your career?  (You can narrow down your college list using the Advanced College Search features.),,,
Careers,7,Which of the following best describes your feelings about your survey results?,,,
Careers,8,"Based on your results, which is your top matched Career Cluster?",,,
Careers,8,"Based on your results, what is your 2nd matched Career Cluster?",,,
Careers,8,"Based on your results, what is our 3rd matched Career Cluster?",,,
Careers,8,Which Career Cluster are you MOST interested in? Why?,,,
Careers,8,Click on the Career Cluster you wrote for Question #4.  Which Related Career Pathway are you most interested in?  Why?,,,
Careers,8,Click the Related Pathway you wrote for Question #5 and go to Related Occupations.  Which Related Occupation (or career) interests you the most? Why? ,,,
Careers,8,"Click the career that interests you the most.  List three of the important skills needed for that career.  (Hint: Click on the Occupation, then click on the Skills and Experience tab.)",,,
Careers,8,What is the average wage for that career in Oregon?  (Click the Wages tab.),,,
Careers,8,What major will you select for your career? (Scroll down to RELATED MAJORS.),,,
Careers,8,Click the MAJOR - what is one COLLEGE that offers the major for your career?  (You can narrow down your college list using the Advanced College Search features.),,,
Careers,8,Which of the following best describes your feelings about your survey results?,,,
Careers,9,"Based on your results, which is your top matched Career Cluster?",,,
Careers,9,"Based on your results, what is your 2nd matched Career Cluster?",,,
Careers,9,"Based on your results, what is our 3rd matched Career Cluster?",,,
Careers,9,Which Career Cluster are you MOST interested in? Why?,,,
Careers,9,Click on the Career Cluster you wrote for Question #4.  Which Related Career Pathway are you most interested in?  Why?,,,
Careers,9,Click the Related Pathway you wrote for Question #5 and go to Related Occupations.  Which Related Occupation (or career) interests you the most? Why? ,,,
Careers,9,"Click the career that interests you the most.  List three of the important skills needed for that career.  (Hint: Click on the Occupation, then click on the Skills and Experience tab.)",,,
Careers,9,What is the average wage for that career in Oregon?  (Click the Wages tab.),,,
Careers,9,What major will you select for your career? (Scroll down to RELATED MAJORS.),,,
Careers,9,Click the MAJOR - what is one COLLEGE that offers the major for your career?  (You can narrow down your college list using the Advanced College Search features.),,,
Careers,9,Which of the following best describes your feelings about your survey results?,,,
Careers,10,"Based on your results, which is your top matched Career Cluster?",,,
Careers,10,"Based on your results, what is your 2nd matched Career Cluster?",,,
Careers,10,"Based on your results, what is our 3rd matched Career Cluster?",,,
Careers,10,Which Career Cluster are you MOST interested in? Why?,,,
Careers,10,Click on the Career Cluster you wrote for Question #4.  Which Related Career Pathway are you most interested in?  Why?,,,
Careers,10,Click the Related Pathway you wrote for Question #5 and go to Related Occupations.  Which Related Occupation (or career) interests you the most? Why? ,,,
Careers,10,"Click the career that interests you the most.  List three of the important skills needed for that career.  (Hint: Click on the Occupation, then click on the Skills and Experience tab.)",,,
Careers,10,What is the average wage for that career in Oregon?  (Click the Wages tab.),,,
Careers,10,What major will you select for your career? (Scroll down to RELATED MAJORS.),,,
Careers,10,Click the MAJOR - what is one COLLEGE that offers the major for your career?  (You can narrow down your college list using the Advanced College Search features.),,,
Careers,10,Which of the following best describes your feelings about your survey results?,,,
Careers,11,"Based on your results, which is your top matched Career Cluster?",,,
Careers,11,"Based on your results, what is your 2nd matched Career Cluster?",,,
Careers,11,"Based on your results, what is our 3rd matched Career Cluster?",,,
Careers,11,Which Career Cluster are you MOST interested in? Why?,,,
Careers,11,Click on the Career Cluster you wrote for Question #4.  Which Related Career Pathway are you most interested in?  Why?,,,
Careers,11,Click the Related Pathway you wrote for Question #5 and go to Related Occupations.  Which Related Occupation (or career) interests you the most? Why? ,,,
Careers,11,"Click the career that interests you the most.  List three of the important skills needed for that career.  (Hint: Click on the Occupation, then click on the Skills and Experience tab.)",,,
Careers,11,What is the average wage for that career in Oregon?  (Click the Wages tab.),,,
Careers,11,What major will you select for your career? (Scroll down to RELATED MAJORS.),,,
Careers,11,Click the MAJOR - what is one COLLEGE that offers the major for your career?  (You can narrow down your college list using the Advanced College Search features.),,,
Careers,11,Which of the following best describes your feelings about your survey results?,,,
Careers,12,"Based on your results, which is your top matched Career Cluster?",,,
Careers,12,"Based on your results, what is your 2nd matched Career Cluster?",,,
Careers,12,"Based on your results, what is our 3rd matched Career Cluster?",,,
Careers,12,Which Career Cluster are you MOST interested in? Why?,,,
Careers,12,Click on the Career Cluster you wrote for Question #4.  Which Related Career Pathway are you most interested in?  Why?,,,
Careers,12,Click the Related Pathway you wrote for Question #5 and go to Related Occupations.  Which Related Occupation (or career) interests you the most? Why? ,,,
Careers,12,"Click the career that interests you the most.  List three of the important skills needed for that career.  (Hint: Click on the Occupation, then click on the Skills and Experience tab.)",,,
Careers,12,What is the average wage for that career in Oregon?  (Click the Wages tab.),,,
Careers,12,What major will you select for your career? (Scroll down to RELATED MAJORS.),,,
Careers,12,Click the MAJOR - what is one COLLEGE that offers the major for your career?  (You can narrow down your college list using the Advanced College Search features.),,,
Careers,12,Which of the following best describes your feelings about your survey results?,,,
Careers,6,"Based on your results, what is your highest/top rated Holland Trait?",,,
Careers,6,"Based on your results, what is your 2nd highest rated Holland Trait?",,,
Careers,6,"Based on your results, what is your 3rd highest rated Holland Trait?",,,
Careers,6,I believe that my top Holland Trait accurately reflects my personality and career interests.,,,
Careers,6,"Based on your answer to Question #4, why or why not do you believe your top Holland Trait accurately reflects your personality and career interests. Explain.",,,
Careers,6,List two (2) career areas of interest based upon the results of the Career Interest Profiler.  ,,,
Careers,6,"Now that I have a potential career path, I feel prepared to begin searching for a college or trade school or alternative pathway?",,,
Careers,6,"Based upon one of the career areas of interest from the Holland Career Interest Profiler Assessment, list a related college major and the average wage in Oregon for that occupation.",,,
Careers,6,"Were you surprised by the results?  Briefly justify (4-5 complete sentences), why or why not these career suggestions may or may not be a good possibility for you.",,,
Careers,6,Have you given any thought to your plans after high school?,,,
Careers,6,Have you talked with your parents/guardians about your plans after high school?,,,
Careers,7,"Based on your results, what is your highest/top rated Holland Trait?",,,
Careers,7,"Based on your results, what is your 2nd highest rated Holland Trait?",,,
Careers,7,"Based on your results, what is your 3rd highest rated Holland Trait?",,,
Careers,7,I believe that my top Holland Trait accurately reflects my personality and career interests.,,,
Careers,7,"Based on your answer to Question #4, why or why not do you believe your top Holland Trait accurately reflects your personality and career interests. Explain.",,,
Careers,7,List two (2) career areas of interest based upon the results of the Career Interest Profiler.  ,,,
Careers,7,"Now that I have a potential career path, I feel prepared to begin searching for a college or trade school or alternative pathway?",,,
